facility_id,name,district,ownership,lat,lon,ICU_open,caps,specialties
F001,Shillong Civil Hospital,East Khasi Hills,Government,25.5788,91.8933,5,"ICU;Ventilator;CathLab;CT;Neurosurgery;BloodBank;OR","Cardiac;Stroke;Trauma;Sepsis"
F002,NEIGRIHMS Shillong,East Khasi Hills,Government,25.5621,91.9015,8,"ICU;Ventilator;CathLab;CT;Neurosurgery;BloodBank;OR;Dialysis","Cardiac;Stroke;Trauma;Sepsis;Renal"
F003,Woodland Hospital Shillong,East Khasi Hills,Private,25.5715,91.8841,4,"ICU;Ventilator;CathLab;CT;OR","Cardiac;Trauma"
F004,Bethany Hospital Shillong,East Khasi Hills,Private,25.5750,91.8950,3,"ICU;Ventilator;OR;BloodBank","Maternal;Trauma"
F005,Nongstoin Civil Hospital,West Khasi Hills,Government,25.5167,91.2667,2,"ICU;OR;BloodBank","Trauma;Sepsis"
F006,Williamnagar Civil Hospital,East Garo Hills,Government,25.4500,90.2167,2,"ICU;OR;BloodBank","Maternal;Trauma"
F007,Tura Civil Hospital,West Garo Hills,Government,25.5142,90.2020,4,"ICU;Ventilator;OR;BloodBank;CT","Trauma;Sepsis;Stroke"
F008,Resubelpara Civil Hospital,North Garo Hills,Government,25.8890,90.5650,1,"ICU;OR","Trauma"
F009,Baghmara Civil Hospital,South Garo Hills,Government,25.2031,90.6439,1,"ICU;OR","Maternal;Trauma"
F010,Jowai Civil Hospital,West Jaintia Hills,Government,25.4475,92.1967,3,"ICU;OR;CT;BloodBank","Trauma;Stroke"
F011,Khliehriat Civil Hospital,East Jaintia Hills,Government,25.2986,92.3814,2,"ICU;OR","Trauma"
F012,Nongpoh Civil Hospital,Ri Bhoi,Government,25.9044,91.8783,2,"ICU;OR;BloodBank","Maternal;Trauma"
F013,Mawkyrwat Civil Hospital,South West Khasi Hills,Government,25.2436,91.5836,1,"ICU;OR","Maternal"
F014,Ampati Civil Hospital,South West Garo Hills,Government,25.4640,89.9240,1,"ICU;OR","Trauma"
F015,Private Heart Centre Shillong,East Khasi Hills,Private,25.5800,91.8900,3,"ICU;CathLab","Cardiac"
F016,Shillong Neuro Centre,East Khasi Hills,Private,25.5765,91.8999,2,"ICU;Neurosurgery;CT","Stroke"
F017,Sunrise Trauma Centre Shillong,East Khasi Hills,Private,25.5690,91.9050,3,"ICU;OR;CT","Trauma"
F018,Meghalaya Dialysis Centre Shillong,East Khasi Hills,Private,25.5733,91.8922,2,"ICU;Dialysis","Renal"
F019,Christian Mission Hospital Tura,West Garo Hills,Private,25.5120,90.2055,2,"ICU;OR","Maternal;Sepsis"
F020,Holy Cross Hospital Nongstoin,West Khasi Hills,Private,25.5175,91.2700,1,"ICU;OR","Maternal"
F021,Community Health Centre Sohra,East Khasi Hills,Government,25.2700,91.7300,1,"ICU","Trauma"
F022,CHC Dawki,West Jaintia Hills,Government,25.1833,92.0167,1,"ICU","Trauma"
F023,Border Area Hospital Borsora,South West Khasi Hills,Government,25.1810,91.4160,1,"ICU","Trauma"
F024,Sub District Hospital Mendipathar,North Garo Hills,Government,25.8590,90.5260,1,"ICU","Maternal"
F025,Shillong Advanced MultiCare,East Khasi Hills,Private,25.5799,91.8977,4,"ICU;Ventilator;OR;CathLab","Cardiac;Maternal;Trauma"
